Date,Open Price,High Price,Low Price,Close Price,Traded Value^,No. Of Trades,Traded Quantity
07-09-2023,"3,430.80","3,460.00","3,422.30","3,455.25",649.20,143528,1885092
06-09-2023,"3,434.00","3,443.90","3,398.10","3,429.90",450.25,99523,1314818
05-09-2023,"3,420.00","3,447.00","3,405.15","3,429.35",515.19,100120,1501842
04-09-2023,"3,378.00","3,432.85","3,370.05","3,418.50",622.57,114654,1828332
01-09-2023,"3,366.00","3,389.00","3,356.80","3,379.20",431.94,148744,1277950
31-08-2023,"3,401.00","3,417.40","3,343.65","3,356.80","1,151.45",125169,3417652
30-08-2023,"3,398.00","3,408.10","3,383.05","3,390.95",403.71,83244,1188200
29-08-2023,"3,381.05","3,389.55","3,365.00","3,376.15",318.83,68937,944517
28-08-2023,"3,394.00","3,394.00","3,360.10","3,375.55",350.07,80009,1037485
25-08-2023,"3,375.00","3,385.80","3,350.25","3,381.30",390.47,87415,1158046
24-08-2023,"3,408.00","3,413.05","3,378.10","3,387.75",391.16,83377,1152881
23-08-2023,"3,388.00","3,402.00","3,376.00","3,398.25",451.24,74093,1330046
22-08-2023,"3,400.00","3,411.00","3,365.05","3,382.15",412.97,105529,1222012
21-08-2023,"3,375.00","3,409.75","3,372.00","3,401.65",467.27,90178,1375579
18-08-2023,"3,410.00","3,410.00","3,356.50","3,367.10",852.48,150157,2526749
17-08-2023,"3,455.00","3,460.80","3,413.20","3,435.75",633.20,122489,1843241
16-08-2023,"3,450.00","3,466.00","3,435.20","3,458.40",458.72,102457,1328445
14-08-2023,"3,440.70","3,455.00","3,411.00","3,449.85",408.81,145261,1190425
11-08-2023,"3,438.10","3,466.65","3,414.00","3,448.80",578.67,142622,1679974
10-08-2023,"3,450.00","3,464.90","3,430.05","3,442.10",377.49,76539,1096701
09-08-2023,"3,464.90","3,467.00","3,425.05","3,462.50",618.96,89275,1794589
08-08-2023,"3,484.05","3,489.95","3,456.60","3,470.60",567.22,119523,1634225
07-08-2023,"3,453.95","3,488.00","3,441.25","3,484.05",642.85,108103,1853889
04-08-2023,"3,401.25","3,471.00","3,401.25","3,443.55",774.65,118974,2248493
03-08-2023,"3,420.00","3,433.25","3,368.00","3,399.95",688.52,136745,2026351
02-08-2023,"3,434.95","3,446.40","3,413.60","3,440.65",657.84,116337,1914899
01-08-2023,"3,415.00","3,460.00","3,415.00","3,452.05",673.65,101249,1956167
31-07-2023,"3,364.40","3,426.65","3,360.90","3,421.45",934.76,121298,2743678
28-07-2023,"3,385.00","3,393.70","3,331.00","3,355.40",871.66,127470,2599831
27-07-2023,"3,394.95","3,411.65","3,385.05","3,396.90",577.77,125535,1701769
26-07-2023,"3,400.35","3,420.85","3,385.00","3,388.30",362.70,101692,1066803
25-07-2023,"3,397.50","3,406.80","3,380.20","3,399.15",432.39,134482,1272980
24-07-2023,"3,381.00","3,413.45","3,372.10","3,394.75",570.88,124293,1680132
21-07-2023,"3,404.05","3,434.90","3,359.05","3,368.30","1,280.45",167464,3770223
20-07-2023,"3,453.10","3,478.90","3,436.05","3,463.30",592.37,99611,1715404
19-07-2023,"3,500.00","3,516.85","3,445.65","3,470.05",836.13,131215,2405370
18-07-2023,"3,476.00","3,524.00","3,465.00","3,496.85",909.18,159053,2600090
17-07-2023,"3,510.00","3,549.90","3,477.05","3,491.70",963.65,221755,2743228
14-07-2023,"3,365.00","3,524.85","3,352.00","3,514.65","2,171.45",318436,6306101
13-07-2023,"3,284.00","3,367.45","3,272.75","3,340.55","1,530.97",245158,4585146
12-07-2023,"3,280.95","3,289.15","3,250.10","3,259.90",494.94,120424,1515240
11-07-2023,"3,295.00","3,295.00","3,260.80","3,272.40",363.85,89756,1110172
10-07-2023,"3,324.75","3,324.75","3,265.20","3,271.95",462.15,113059,1407431
07-07-2023,"3,302.00","3,356.90","3,302.00","3,329.25",596.59,130328,1789326
06-07-2023,"3,306.55","3,328.45","3,302.00","3,322.90",612.58,82587,1848238
05-07-2023,"3,320.00","3,329.00","3,305.00","3,319.95",482.19,92949,1453008
04-07-2023,"3,290.00","3,315.00","3,277.30","3,308.85",546.43,100235,1656681
03-07-2023,"3,314.30","3,318.80","3,268.75","3,272.30",554.50,120543,1687264
30-06-2023,"3,220.00","3,310.00","3,214.10","3,302.25",876.65,205777,2672406
28-06-2023,"3,208.00","3,230.95","3,193.40","3,215.45",506.78,125121,1575872
27-06-2023,"3,202.00","3,209.65","3,182.30","3,197.35",275.85,67679,863542
26-06-2023,"3,205.00","3,213.90","3,173.00","3,189.65",631.12,107706,1978803
23-06-2023,"3,237.30","3,249.40","3,209.15","3,216.35",360.62,67908,1119505
22-06-2023,"3,260.00","3,267.65","3,230.10","3,238.50",496.54,83159,1529603
21-06-2023,"3,250.00","3,261.40","3,223.95","3,258.20",534.54,91009,1645987
20-06-2023,"3,214.00","3,232.50","3,201.05","3,227.70",491.99,72353,1528452
19-06-2023,"3,190.00","3,214.90","3,175.00","3,210.40",469.01,88271,1468186
16-06-2023,"3,197.00","3,199.40","3,156.00","3,174.90","1,319.91",214155,4156189
15-06-2023,"3,245.30","3,247.45","3,210.00","3,216.30",733.48,104925,2273810
14-06-2023,"3,243.70","3,255.85","3,225.85","3,251.05",538.19,92990,1658544
13-06-2023,"3,260.00","3,265.00","3,239.00","3,243.70",445.83,90189,1371928
12-06-2023,"3,215.00","3,254.40","3,211.00","3,246.90",752.76,99385,2324605
09-06-2023,"3,245.00","3,250.00","3,205.35","3,209.30",571.64,119166,1775689
08-06-2023,"3,261.00","3,270.00","3,233.00","3,236.45",571.16,105766,1759366
07-06-2023,"3,253.00","3,278.85","3,241.00","3,274.90",511.09,82630,1567196
06-06-2023,"3,280.00","3,288.85","3,220.60","3,232.30",654.56,158147,2022849
05-06-2023,"3,315.00","3,327.00","3,285.05","3,288.90",614.55,94288,1861468
02-06-2023,"3,326.25","3,335.90","3,297.45","3,305.60",672.29,132777,2030661
01-06-2023,"3,314.00","3,340.00","3,297.50","3,324.00",391.52,107605,1177314
31-05-2023,"3,309.00","3,327.70","3,265.15","3,289.50","1,915.63",171593,5815424
30-05-2023,"3,315.00","3,326.95","3,301.35","3,316.20",445.17,105175,1344224
29-05-2023,"3,360.80","3,372.00","3,312.00","3,320.35",403.50,89980,1210372
